index,image_url
19,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kQoRa71F7/full/max/0/default.jpg
20,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRHHrQ2VF/full/max/0/default.jpg
21,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRHQPvrdX/full/max/0/default.jpg
22,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRHWwTgmo/full/max/0/default.jpg
23,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRHdUzWv5/full/max/0/default.jpg
24,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRHk2XM4M/full/max/0/default.jpg
25,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRHra4BCd/full/max/0/default.jpg
26,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRHy7b1Lu/full/max/0/default.jpg
27,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRJ5f7qVB/full/max/0/default.jpg
28,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRJCCefdT/full/max/0/default.jpg
29,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRJJkBVmj/full/max/0/default.jpg
30,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRnB2UX1s/full/max/0/default.jpg
31,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRnHa1MA9/full/max/0/default.jpg
32,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRnQ7YBJR/full/max/0/default.jpg
33,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRnWf51Sh/full/max/0/default.jpg
34,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRndCbqay/full/max/0/default.jpg
35,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRnjk8fjF/full/max/0/default.jpg
36,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRnrHfVsX/full/max/0/default.jpg
37,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRnxqCL1o/full/max/0/default.jpg
38,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRo5NjAA5/full/max/0/default.jpg
39,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kRoBvFzJM/full/max/0/default.jpg
40,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSH4CZ1YV/full/max/0/default.jpg
41,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSHAk5qgm/full/max/0/default.jpg
42,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSHHHcfq3/full/max/0/default.jpg
43,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSHPq9VyK/full/max/0/default.jpg
44,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSHWNgL7b/full/max/0/default.jpg
45,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSHcvDAFs/full/max/0/default.jpg
46,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSHjTjzQ9/full/max/0/default.jpg
47,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSHr1GpYR/full/max/0/default.jpg
48,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSHxYoegh/full/max/0/default.jpg
49,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSJ56LUpy/full/max/0/default.jpg
50,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSmwNdW57/full/max/0/default.jpg
51,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSn3vALDP/full/max/0/default.jpg
52,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSnAThAMf/full/max/0/default.jpg
53,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSnH1DzVw/full/max/0/default.jpg
54,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSnPYkpeD/full/max/0/default.jpg
55,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSnW6HenV/full/max/0/default.jpg
56,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSncdpUvm/full/max/0/default.jpg
57,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSnjBMK53/full/max/0/default.jpg
58,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSnqit9DK/full/max/0/default.jpg
59,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kSnxGQyMb/full/max/0/default.jpg
60,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTGpYhzbj/full/max/0/default.jpg
61,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTGw6Epk1/full/max/0/default.jpg
62,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTH3dmetH/full/max/0/default.jpg
63,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTHABJV2Z/full/max/0/default.jpg
64,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTHGiqKAq/full/max/0/default.jpg
65,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTHPGN9K7/full/max/0/default.jpg
66,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTHVotyTP/full/max/0/default.jpg
67,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTHcMRobf/full/max/0/default.jpg
68,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTHitxdjw/full/max/0/default.jpg
69,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTHqSVTtD/full/max/0/default.jpg
70,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTmhinV8M/full/max/0/default.jpg
71,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTmpGKKGd/full/max/0/default.jpg
72,https://api.onb.ac.at/iiif/image/v3/109892B3/uk4nGb4kTmvor9Qu/full/max/0/default.jpg
