index,image_url
55,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSnW6HenV/full/max/0/default.jpg
56,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSncdpUvm/full/max/0/default.jpg
57,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSnjBMK53/full/max/0/default.jpg
58,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSnqit9DK/full/max/0/default.jpg
59,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kSnxGQyMb/full/max/0/default.jpg
60,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTGpYhzbj/full/max/0/default.jpg
61,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTGw6Epk1/full/max/0/default.jpg
62,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTH3dmetH/full/max/0/default.jpg
63,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTHABJV2Z/full/max/0/default.jpg
64,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTHGiqKAq/full/max/0/default.jpg
65,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTHPGN9K7/full/max/0/default.jpg
66,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTHVotyTP/full/max/0/default.jpg
67,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTHcMRobf/full/max/0/default.jpg
68,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTHitxdjw/full/max/0/default.jpg
69,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTHqSVTtD/full/max/0/default.jpg
70,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTmhinV8M/full/max/0/default.jpg
71,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTmpGKKGd/full/max/0/default.jpg
72,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTmvor9Qu/full/max/0/default.jpg
73,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTn3MNyZB/full/max/0/default.jpg
74,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTn9tuohT/full/max/0/default.jpg
75,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTnGSSdqj/full/max/0/default.jpg
76,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTnNyyTz1/full/max/0/default.jpg
77,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTnVXWJ8H/full/max/0/default.jpg
78,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTnc538GZ/full/max/0/default.jpg
79,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kTnicZxQq/full/max/0/default.jpg
80,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUGatryey/full/max/0/default.jpg
81,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUGhSPooF/full/max/0/default.jpg
82,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUGoyvdwX/full/max/0/default.jpg
83,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUGvXTU5o/full/max/0/default.jpg
84,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUH34zJE5/full/max/0/default.jpg
85,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUH9cX8NM/full/max/0/default.jpg
86,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUHGA3xWd/full/max/0/default.jpg
87,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUHNhaneu/full/max/0/default.jpg
88,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUHVF7coB/full/max/0/default.jpg
89,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUHbneSwT/full/max/0/default.jpg
90,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUmU4wUBb/full/max/0/default.jpg
91,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUmacUJKs/full/max/0/default.jpg
92,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUmhA18U9/full/max/0/default.jpg
93,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUmohXxcR/full/max/0/default.jpg
94,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUmvF4nkh/full/max/0/default.jpg
95,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUn2nbcty/full/max/0/default.jpg
96,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUn9L8T3F/full/max/0/default.jpg
97,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUnFsfHBX/full/max/0/default.jpg
98,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUnNRC7Ko/full/max/0/default.jpg
99,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4kUnUxiwU5/full/max/0/default.jpg
100,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbmPz4xau/full/max/0/default.jpg
101,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbmWXbnjB/full/max/0/default.jpg
102,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbmd58csT/full/max/0/default.jpg
103,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbmjcfT1j/full/max/0/default.jpg
104,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbmrACHA1/full/max/0/default.jpg
105,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbmxhj7JH/full/max/0/default.jpg
106,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbn5FFwSZ/full/max/0/default.jpg
107,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbnBnnmaq/full/max/0/default.jpg
108,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbnJLKbj7/full/max/0/default.jpg
109,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nbnQsrRsP/full/max/0/default.jpg
110,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncGHA9T7X/full/max/0/default.jpg
111,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncGPhgHFo/full/max/0/default.jpg
112,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncGWFD7Q5/full/max/0/default.jpg
113,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncGcnjwYM/full/max/0/default.jpg
114,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncGjLGmgd/full/max/0/default.jpg
115,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncGqsobpu/full/max/0/default.jpg
116,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncGxRLRyB/full/max/0/default.jpg
117,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncH4xsG7T/full/max/0/default.jpg
118,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncHBWQ6Fj/full/max/0/default.jpg
119,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncHJ3vvQ1/full/max/0/default.jpg
120,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncmALDwe9/full/max/0/default.jpg
121,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncmGskmnR/full/max/0/default.jpg
122,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncmPRHbvh/full/max/0/default.jpg
123,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncmVxpS4y/full/max/0/default.jpg
124,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncmcWMGDF/full/max/0/default.jpg
125,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncmj3t6MX/full/max/0/default.jpg
126,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncmqbQvVo/full/max/0/default.jpg
127,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncmx8wke5/full/max/0/default.jpg
128,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncn4gUanM/full/max/0/default.jpg
129,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ncnBE1Qvd/full/max/0/default.jpg
130,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndG3WJSAm/full/max/0/default.jpg
131,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndGA3qGK3/full/max/0/default.jpg
132,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndGGbN6TK/full/max/0/default.jpg
133,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndGP8tvbb/full/max/0/default.jpg
134,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndGVgRkjs/full/max/0/default.jpg
135,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndGcDxat9/full/max/0/default.jpg
136,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndGimVR2R/full/max/0/default.jpg
137,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndGqK2FAh/full/max/0/default.jpg
138,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndGwrZ5Jy/full/max/0/default.jpg
139,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndH4Q5uTF/full/max/0/default.jpg
140,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndkvgNvhP/full/max/0/default.jpg
141,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndm3Dukqf/full/max/0/default.jpg
142,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndm9mSayw/full/max/0/default.jpg
143,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndmGJyR8D/full/max/0/default.jpg
144,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndmNrWFGV/full/max/0/default.jpg
145,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndmVQ35Qm/full/max/0/default.jpg
146,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndmbwZuZ3/full/max/0/default.jpg
147,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndmiV6jhK/full/max/0/default.jpg
148,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndmq2dZqb/full/max/0/default.jpg
149,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ndmwaAPys/full/max/0/default.jpg
150,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neForTRE1/full/max/0/default.jpg
151,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neFvPzFNH/full/max/0/default.jpg
152,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neG2wX5WZ/full/max/0/default.jpg
153,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neG9V3ueq/full/max/0/default.jpg
154,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neGG2ajo7/full/max/0/default.jpg
155,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neGNa7ZwP/full/max/0/default.jpg
156,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neGV7eQ5f/full/max/0/default.jpg
157,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neGbfBEDw/full/max/0/default.jpg
158,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neGiCi4ND/full/max/0/default.jpg
159,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4neGpkEtWV/full/max/0/default.jpg
160,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nekh2Xukd/full/max/0/default.jpg
161,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nekoa4jtu/full/max/0/default.jpg
162,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nekv7ba3B/full/max/0/default.jpg
163,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nem2f8QBT/full/max/0/default.jpg
164,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nem9CfEKj/full/max/0/default.jpg
165,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nemFkC4U1/full/max/0/default.jpg
166,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nemNHitcH/full/max/0/default.jpg
167,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nemUqFikZ/full/max/0/default.jpg
168,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nembNnYtq/full/max/0/default.jpg
169,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nemhvKP37/full/max/0/default.jpg
170,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfFaCcQHF/full/max/0/default.jpg
171,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfFgk9ERX/full/max/0/default.jpg
172,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfFoHg4Zo/full/max/0/default.jpg
173,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfFuqCti5/full/max/0/default.jpg
174,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfG2NjirM/full/max/0/default.jpg
175,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfG8vGYzd/full/max/0/default.jpg
176,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfGFToP8u/full/max/0/default.jpg
177,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfGN1LDHB/full/max/0/default.jpg
178,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfGUYs3RT/full/max/0/default.jpg
179,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfGb6PsZj/full/max/0/default.jpg
180,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfkTNgtos/full/max/0/default.jpg
181,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfkZvDix9/full/max/0/default.jpg
182,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfkgTkZ6R/full/max/0/default.jpg
183,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfko1HPEh/full/max/0/default.jpg
184,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfkuYpDNy/full/max/0/default.jpg
185,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfm26M3XF/full/max/0/default.jpg
186,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfm8dssfX/full/max/0/default.jpg
187,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfmFBQhoo/full/max/0/default.jpg
188,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfmMiwXx5/full/max/0/default.jpg
189,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4nfmUGUN6M/full/max/0/default.jpg
190,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngFLYmPLV/full/max/0/default.jpg
191,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngFT6JDUm/full/max/0/default.jpg
192,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngFZdq3d3/full/max/0/default.jpg
193,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngFgBMsmK/full/max/0/default.jpg
194,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngFnithub/full/max/0/default.jpg
195,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngFuGRY3s/full/max/0/default.jpg
196,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngG1oxNC9/full/max/0/default.jpg
197,https://api.onb.ac.at/iiif/image/v3/10AC1F79/uk4nGb4ngG8MVCLR/full/max/0/default.jpg
